description_vwr,catalog,unit,price,quantity,row,column,shelf,description_stockroom
VWR 250ML FLASK CELL ATTACHMENT TREAT V,10861-646,Case of 100,$160.69 ,2,M,1,1,VWR 250ML FLASK CELL ATTACHMENT TREAT V
TUBE MICRO 6ML ASSORTED STERILE PK1000,10011-676,Case of 10000,$154.50 ,8,A,1,1,TUBE MICRO 6ML ASSORTED STERILE PK1000
TUBE MICRO 0.6ML CLEAR PK1000,10011-680,Case of 10000,$148.05 ,4,A,1,2,TUBE MICRO 0.6ML CLEAR PK1000
VWR TUBE ASSRTD 1700UL PK500,20170-349,Case of 5000,$143.44 ,1,A,2,4,VWR TUBE ASSRTD 1700UL PK500
DISH EASY GRIP 60 X 15MM CS500,25382-188,Case of 500,$133.90 ,2,D,2,2,DISH EASY GRIP 60 X 15MM CS500
TUBE RNBT CULT ST DISP PP 14ML CS500,60819-761,Case of 500,$123.60 ,1,D,2,2,TUBE RNBT CULT ST DISP PP 14ML CS500
DISH TISSUE CULT 35X10MM CS500,25382-064,Case of 500,$122.57 ,3,D,2,3,DISH TISSUE CULT 35X10MM CS500
DISH 145X20MM TC-TREATED CS120,82050-598,Case of 120,$116.57 ,NA,NA,NA,NA,NA
DISH 100X20MM TC-TREATED CS360,82050-916,Case of 360,$116.29 ,2,I,1,1,DISH 100X20MM TC-TREATED CS360
VWR TUBE SUPERSPIN 1.5ML PK500,20170-038,Case of 5000,$113.93 ,NA,NA,NA,NA,NA
FLASK TC FILTER CP 250ML CS120,82050-856,Case of 120,$113.26 ,NA,NA,NA,NA,NA
"TC CLUSTER,96WELL,STER,CS50",29443-954,Case of 50,$111.24 ,4,E,1,3,"TC CLUSTER,96WELL,STER,CS50"
PLATE 96WELL FLT BTM LID CS100,82050-771,Case of 100,$105.76 ,1,G,1,3,PLATE 96WELL FLT BTM LID CS100
VWR PLT TISSU CLTR 96 WELL F BTM CS100,10062-900,Case of 100,$105.36 ,1,C,2,4,VWR PLT TISSU CLTR 96 WELL F BTM CS100
TUBE CENTRIFG POLYP 50ML CS500,21008-951,Case of 500,$101.97 ,4,J,1,2,TUBE CENTRIFG POLYP 50ML CS500
PETRI DISH STRL 100X15MM CS500,25373-100,Case of 500,$98.88 ,3,K,1,3,PETRI DISH STRL 100X15MM CS500
TUBE CENTRIFUGE PP GRAD WP 15ML ST CS500,21008-918,Case of 500,$96.82 ,4,J,1,3,TUBE CENTRIFUGE PP GRAD WP 15ML ST CS500
STRIPETTE RED 25ML CS200,29443-049,Case of 200,$96.60 ,4,D,1,2,STRIPETTE RED 25ML CS200
PLATE 12 WELL PS ST TC CS100,82050-930,Case of 100,$95.77 ,4,G,1,1,PLATE 12 WELL PS ST TC CS100
VWR 15.0 CM DISH CELL ATTACHMENT TREATED,10861-682,Case of 80,$94.09 ,3,L,1,4,VWR 15.0 CM DISH CELL ATTACHMENT TREATED
TUBE MICROCENTRIFUGE 15ML ASRT ST PK500,10011-696,Case of 5000,$93.55 ,4,A,2,2,TUBE MICROCENTRIFUGE 15ML ASRT ST PK500
VWRPIPET TIP XL UNIV NS 0.5-10 UL PK 960,76322-142,Case of 4800,$89.83 ,NA,NA,NA,NA,NA
PIPET TIP UNIV CLR LR 200UL PK960 CS4800,76322-144,Case of 4800,$89.83 ,13,A,2,2,"VWR 200UL, PIPET RETENTION"
VWR PIPET TIP RKD CLR 1000 UL PK10 RACKS,76322-524,Case of 3840,$89.83 ,15,A,2,4,VWR 1000UL PIPET TIPS 
